Tanggal,tahun,bulan,bulan_2,wilayah,Kecamatan,pam,pat,pred_elevasi
9/1/2023,2023,September,33,Jakarta Utara,Koja,7097.743,110,5.21339290442304
9/1/2023,2023,September,33,Jakarta Utara,Pademangan,127738.349540274,163,4.15813324104026
9/1/2023,2023,September,33,Jakarta Utara,Penjaringan,501576.069066056,9831,1.25623398692055
9/1/2023,2023,September,33,Jakarta Utara,Tanjung Priok,788.869703441896,12,4.15104324011495
10/1/2023,2023,October,34,Jakarta Utara,Cilincing,3910.12,61,2.18822006109755
10/1/2023,2023,October,34,Jakarta Utara,Kelapa gading,713967,11093,5.08987079464682
10/1/2023,2023,October,34,Jakarta Utara,Koja,7066.89,110,5.21339290442304
10/1/2023,2023,October,34,Jakarta Utara,Pademangan,126299.475795064,154,4.15813324104026
10/1/2023,2023,October,34,Jakarta Utara,Penjaringan,496585.30379141,9734,1.25623398692055
10/1/2023,2023,October,34,Jakarta Utara,Tanjung Priok,758.695996709328,12,4.15104324011495
11/1/2023,2023,November,35,Jakarta Utara,Cilincing,3873.466,60,2.18822006109755
11/1/2023,2023,November,35,Jakarta Utara,Kelapa gading,723751.2,11245,5.08987079464682
11/1/2023,2023,November,35,Jakarta Utara,Koja,7036.037,109,5.21339290442304
11/1/2023,2023,November,35,Jakarta Utara,Pademangan,124881.012295868,146,4.15813324104026
11/1/2023,2023,November,35,Jakarta Utara,Penjaringan,491644.197460965,9637,1.30290065358722
11/1/2023,2023,November,35,Jakarta Utara,Tanjung Priok,729.676412861705,11,4.15104324011495
12/1/2023,2023,December,36,Jakarta Utara,Cilincing,3836.812,60,2.18822006109755
12/1/2023,2023,December,36,Jakarta Utara,Kelapa gading,733535.4,11397,5.08987079464682
12/1/2023,2023,December,36,Jakarta Utara,Koja,7005.184,109,5.21339290442304
12/1/2023,2023,December,36,Jakarta Utara,Pademangan,123482.388098394,138,4.15813324104026
12/1/2023,2023,December,36,Jakarta Utara,Penjaringan,486752.255959972,9541,1.30290065358722
12/1/2023,2023,December,36,Jakarta Utara,Tanjung Priok,701.766807517122,11,4.15104324011495
1/1/2024,2024,January,37,Jakarta Utara,Cilincing,3800.158,59,2.18822006109755
1/1/2024,2024,January,37,Jakarta Utara,Kelapa gading,743319.6,11549,5.08987079464682
1/1/2024,2024,January,37,Jakarta Utara,Koja,6974.331,108,5.21339290442304
1/1/2024,2024,January,37,Jakarta Utara,Pademangan,122103.055885161,131,4.15813324104026
1/1/2024,2024,January,37,Jakarta Utara,Penjaringan,481908.990090202,9446,1.30290065358722
1/1/2024,2024,January,37,Jakarta Utara,Tanjung Priok,674.924724784974,10,4.15104324011495
2/1/2024,2024,February,38,Jakarta Utara,Cilincing,3763.504,58,2.18822006109755
2/1/2024,2024,February,38,Jakarta Utara,Kelapa gading,753103.8,11701,5.08987079464682
2/1/2024,2024,February,38,Jakarta Utara,Koja,6943.478,108,5.21339290442304
2/1/2024,2024,February,38,Jakarta Utara,Pademangan,120742.490679583,124,4.15813324104026
2/1/2024,2024,February,38,Jakarta Utara,Penjaringan,477113.915521034,9352,1.30290065358722
2/1/2024,2024,February,38,Jakarta Utara,Tanjung Priok,649.109332682365,10,4.15104324011495
3/1/2024,2024,March,39,Jakarta Utara,Cilincing,3726.85,58,2.18822006109755
3/1/2024,2024,March,39,Jakarta Utara,Kelapa gading,762888,11853,5.08987079464682
3/1/2024,2024,March,39,Jakarta Utara,Koja,6912.625,107,5.21339290442304
3/1/2024,2024,March,39,Jakarta Utara,Pademangan,119400.188646369,117,4.15813324104026
3/1/2024,2024,March,39,Jakarta Utara,Penjaringan,472366.552741015,9259,1.30290065358722
3/1/2024,2024,March,40,Jakarta Utara,Tanjung Priok,624.28136102079,10,4.15104324011495
4/1/2024,2024,April,40,Jakarta Utara,Cilincing,3690.196,57,2.18822006109755
4/1/2024,2024,April,40,Jakarta Utara,Kelapa gading,772672.2,12005,5.08987079464682
4/1/2024,2024,April,40,Jakarta Utara,Koja,6881.772,107,5.21339290442304
4/1/2024,2024,April,40,Jakarta Utara,Pademangan,118075.665971367,111,4.15813324104026
4/1/2024,2024,April,40,Jakarta Utara,Penjaringan,467666.427009909,9167,1.30290065358722
4/1/2024,2024,April,40,Jakarta Utara,Tanjung Priok,600.403041668603,9,4.15104324011495
5/1/2024,2024,May,41,Jakarta Utara,Cilincing,3653.542,57,2.18822006109755
5/1/2024,2024,May,41,Jakarta Utara,Kelapa gading,782456.4,12157,5.08987079464682
5/1/2024,2024,May,41,Jakarta Utara,Koja,6850.919,106,5.21339290442304
5/1/2024,2024,May,41,Jakarta Utara,Pademangan,116768.457814632,105,4.15813324104026
5/1/2024,2024,May,41,Jakarta Utara,Penjaringan,463013.068311228,9076,1.30290065358722
5/1/2024,2024,May,41,Jakarta Utara,Tanjung Priok,577.438051098415,9,4.15104324011495
6/1/2024,2024,June,42,Jakarta Utara,Cilincing,3616.888,56,2.18822006109755
6/1/2024,2024,June,42,Jakarta Utara,Kelapa gading,792240.6,12309,5.08987079464682
6/1/2024,2024,June,42,Jakarta Utara,Koja,6820.066,106,5.21339290442304
6/1/2024,2024,June,42,Jakarta Utara,Pademangan,115478.117331041,99,4.15813324104026
6/1/2024,2024,June,42,Jakarta Utara,Penjaringan,458406.011305224,8985,1.30290065358722
6/1/2024,2024,June,42,Jakarta Utara,Tanjung Priok,555.351455131997,9,4.15104324011495
7/1/2024,2024,July,43,Jakarta Utara,Cilincing,3580.234,56,2.18822006109755
7/1/2024,2024,July,43,Jakarta Utara,Kelapa gading,802024.8,12461,5.08987079464682
7/1/2024,2024,July,43,Jakarta Utara,Koja,6789.213,105,5.21339290442304
7/1/2024,2024,July,43,Jakarta Utara,Pademangan,114204.214753298,94,4.15813324104026
7/1/2024,2024,July,43,Jakarta Utara,Penjaringan,453844.795282356,8896,1.30290065358722
7/1/2024,2024,July,43,Jakarta Utara,Tanjung Priok,534.109655798664,8,4.15104324011495
8/1/2024,2024,August,44,Jakarta Utara,Cilincing,3543.58,55,2.18822006109755
8/1/2024,2024,August,44,Jakarta Utara,Kelapa gading,811809,12613,5.08987079464682
8/1/2024,2024,August,44,Jakarta Utara,Koja,6758.36,105,5.21339290442304
8/1/2024,2024,August,44,Jakarta Utara,Pademangan,112946.336532612,89,4.15813324104026
8/1/2024,2024,August,44,Jakarta Utara,Penjaringan,449328.964117222,8807,1.30290065358722
8/1/2024,2024,August,44,Jakarta Utara,Tanjung Priok,513.680340226287,8,4.15104324011495
9/1/2024,2024,September,45,Jakarta Utara,Cilincing,3506.926,55,2.18822006109755
9/1/2024,2024,September,45,Jakarta Utara,Kelapa gading,821593.2,12765,5.08987079464682
9/1/2024,2024,September,45,Jakarta Utara,Koja,6727.507,105,5.21339290442304
9/1/2024,2024,September,45,Jakarta Utara,Pademangan,111704.084532756,84,4.15813324104026
9/1/2024,2024,September,45,Jakarta Utara,Penjaringan,444858.066222941,8720,1.30290065358722
9/1/2024,2024,September,45,Jakarta Utara,Tanjung Priok,494.032431487179,8,4.15104324011495
10/1/2024,2024,October,46,Jakarta Utara,Cilincing,3470.272,54,2.18822006109755
10/1/2024,2024,October,46,Jakarta Utara,Kelapa gading,831377.4,12917,5.08987079464682
10/1/2024,2024,October,46,Jakarta Utara,Koja,6696.654,104,5.21339290442304
10/1/2024,2024,October,46,Jakarta Utara,Pademangan,110477.075273575,80,4.15813324104026
10/1/2024,2024,October,46,Jakarta Utara,Penjaringan,440431.654505999,8633,1.30290065358722
10/1/2024,2024,October,46,Jakarta Utara,Tanjung Priok,475.136041324098,7,4.15104324011495
11/1/2024,2024,November,47,Jakarta Utara,Cilincing,3433.618,53,2.18822006109755
