Tanggal,tahun,bulan,bulan_2,wilayah,Kecamatan,pam,pat
9/1/2025,2025,September,9,Jakarta Utara,Kelapa gading,939003.6,14590
9/1/2025,2025,September,9,Jakarta Utara,Koja,6357.271,99
9/1/2025,2025,September,9,Jakarta Utara,Pademangan,97889.0506846744,44
9/1/2025,2025,September,9,Jakarta Utara,Penjaringan,394553.710371601,7734
9/1/2025,2025,September,9,Jakarta Utara,Tanjung Priok,309.389551019956,5
10/1/2025,2025,October,10,Jakarta Utara,Cilincing,3030.424,47
10/1/2025,2025,October,10,Jakarta Utara,Kelapa gading,948787.8,14742
10/1/2025,2025,October,10,Jakarta Utara,Koja,6326.418,98
10/1/2025,2025,October,10,Jakarta Utara,Pademangan,96819.5217729996,41
10/1/2025,2025,October,10,Jakarta Utara,Penjaringan,390627.835358521,7657
10/1/2025,2025,October,10,Jakarta Utara,Tanjung Priok,297.555620095918,5
11/1/2025,2025,November,11,Jakarta Utara,Cilincing,2993.77,47
11/1/2025,2025,November,11,Jakarta Utara,Kelapa gading,958572,14894
11/1/2025,2025,November,11,Jakarta Utara,Koja,6295.565,98
11/1/2025,2025,November,11,Jakarta Utara,Pademangan,95761.3108399459,39
11/1/2025,2025,November,11,Jakarta Utara,Penjaringan,386741.023454501,7581
11/1/2025,2025,November,11,Jakarta Utara,Tanjung Priok,286.174328637736,4
12/1/2025,2025,December,12,Jakarta Utara,Cilincing,2957.116,46
12/1/2025,2025,December,12,Jakarta Utara,Kelapa gading,968356.2,15046
12/1/2025,2025,December,12,Jakarta Utara,Koja,6264.712,97
12/1/2025,2025,December,12,Jakarta Utara,Pademangan,94714.1808532164,37
12/1/2025,2025,December,12,Jakarta Utara,Penjaringan,382892.885975112,7505
12/1/2025,2025,December,12,Jakarta Utara,Tanjung Priok,275.228363506828,4
