,Tanggal,Kecamatan,pam,pat,elevasi,bulan,bulan_num,tahun,wilayah
89,2018-03-01,Kebon Jeruk,974209,15137,10.352066161,March,3,2018,Jakarta Barat
90,2018-03-01,Kembangan,986437,15327,10.352066161,March,3,2018,Jakarta Barat
91,2018-03-01,Palmerah,729514,11335,9.352066161,March,3,2018,Jakarta Barat
92,2018-03-01,Menteng,501167,7787,10.391615491,March,3,2018,Jakarta Pusat
93,2018-03-01,Tanah Abang,638124,9915,10.391615491,March,3,2018,Jakarta Pusat
94,2018-03-01,Sawah Besar,306544,4763,4.3916154910000005,March,3,2018,Jakarta Pusat
95,2018-03-01,Gambir,822127,12774,4.3916154910000005,March,3,2018,Jakarta Pusat
96,2018-03-01,Cempaka Putih,36041,560,6.3916154910000005,March,3,2018,Jakarta Pusat
97,2018-03-01,Johar Baru,2445,38,11.391615491,March,3,2018,Jakarta Pusat
98,2018-03-01,Kemayoran,224807,3493,5.3916154910000005,March,3,2018,Jakarta Pusat
99,2018-03-01,Senen,200930,3122,10.391615491,March,3,2018,Jakarta Pusat
100,2018-03-01,Kramat Jati,678541,10543,36.364437924,March,3,2018,Jakarta Timur
101,2018-03-01,Ciracas,552526,8585,52.36443792399999,March,3,2018,Jakarta Timur
102,2018-03-01,Cipayung,568873,8839,73.364437924,March,3,2018,Jakarta Timur
103,2018-03-01,Makasar,2548377,39596,29.364437924,March,3,2018,Jakarta Timur
104,2018-03-01,Pasar Rebo,333317,5179,48.36443792399999,March,3,2018,Jakarta Timur
105,2018-03-01,Jatinegara,178018,2766,17.364437924,March,3,2018,Jakarta Timur
106,2018-03-01,Duren sawit,261106,4057,20.364437924,March,3,2018,Jakarta Timur
107,2018-03-01,Matraman,109604,1703,9.364437924,March,3,2018,Jakarta Timur
108,2018-03-01,Pulo Gadung,388988,6044,11.364437924,March,3,2018,Jakarta Timur
109,2018-03-01,Cakung,616692,9582,9.364437924,March,3,2018,Jakarta Timur
110,2018-03-01,Tanjung Priok,10683,166,4.389159601,March,3,2018,Jakarta Utara
111,2018-03-01,Cilincing,7336,114,2.389159601,March,3,2018,Jakarta Utara
112,2018-03-01,Kelapa gading,158903,2469,5.389159601,March,3,2018,Jakarta Utara
113,2018-03-01,Koja,4826,75,5.389159601,March,3,2018,Jakarta Utara
114,2018-03-01,Pademangan,450065,6993,4.389159601,March,3,2018,Jakarta Utara
115,2018-03-01,Penjaringan,953035,14808,1.389159601,March,3,2018,Jakarta Utara
116,2018-03-01,Setiabudi,711815,11060,23.394847366999997,March,3,2018,Jakarta Selatan
117,2018-03-01,Tebet,1319047,20495,18.394847367,March,3,2018,Jakarta Selatan
118,2018-03-01,Keb Baru,980066,15228,20.394847367,March,3,2018,Jakarta Selatan
119,2018-03-01,Keb Lama,5752385,89379,25.394847366999997,March,3,2018,Jakarta Selatan
120,2018-03-01,Cilandak,2311148,35910,38.394847367,March,3,2018,Jakarta Selatan
121,2018-03-01,Pesanggrahan,344902,5359,22.394847366999997,March,3,2018,Jakarta Selatan
122,2018-03-01,Pasar Minggu,4439001,68972,39.394847367,March,3,2018,Jakarta Selatan
123,2018-03-01,Jagakarsa,1614972,25093,62.394847367,March,3,2018,Jakarta Selatan
124,2018-03-01,Mampang Prapatan,1179065,18320,26.394847366999997,March,3,2018,Jakarta Selatan
125,2018-03-01,Pancoran,2443536,37967,25.394847366999997,March,3,2018,Jakarta Selatan
126,2018-04-01,Kalideres,966872,15023,5.352066161000001,April,4,2018,Jakarta Barat
127,2018-04-01,Cengkareng,511850,7953,3.352066161,April,4,2018,Jakarta Barat
128,2018-04-01,Tambora,4119,64,4.352066161000001,April,4,2018,Jakarta Barat
129,2018-04-01,Grogol Petamburan,461393,7169,4.352066161000001,April,4,2018,Jakarta Barat
130,2018-04-01,Taman Sari,301459,4684,5.352066161000001,April,4,2018,Jakarta Barat
131,2018-04-01,Kebon Jeruk,1111295,17267,10.352066161,April,4,2018,Jakarta Barat
132,2018-04-01,Kembangan,955159,14841,10.352066161,April,4,2018,Jakarta Barat
133,2018-04-01,Palmerah,696047,10815,9.352066161,April,4,2018,Jakarta Barat
134,2018-04-01,Menteng,769996,11964,10.391615491,April,4,2018,Jakarta Pusat
135,2018-04-01,Tanah Abang,3095304,48094,10.391615491,April,4,2018,Jakarta Pusat
136,2018-04-01,Sawah Besar,383775,5963,4.3916154910000005,April,4,2018,Jakarta Pusat
137,2018-04-01,Gambir,561085,8718,4.3916154910000005,April,4,2018,Jakarta Pusat
138,2018-04-01,Cempaka Putih,45309,704,6.3916154910000005,April,4,2018,Jakarta Pusat
139,2018-04-01,Johar Baru,3539,55,11.391615491,April,4,2018,Jakarta Pusat
140,2018-04-01,Kemayoran,255571,3971,5.3916154910000005,April,4,2018,Jakarta Pusat
141,2018-04-01,Senen,324178,5037,10.391615491,April,4,2018,Jakarta Pusat
142,2018-04-01,Kramat Jati,644367,10012,36.364437924,April,4,2018,Jakarta Timur
143,2018-04-01,Ciracas,744317,11565,52.36443792399999,April,4,2018,Jakarta Timur
144,2018-04-01,Cipayung,826053,12835,73.364437924,April,4,2018,Jakarta Timur
145,2018-04-01,Makasar,3129672,48628,29.364437924,April,4,2018,Jakarta Timur
146,2018-04-01,Pasar Rebo,622677,9675,48.36443792399999,April,4,2018,Jakarta Timur
147,2018-04-01,Jatinegara,1053500,16369,17.364437924,April,4,2018,Jakarta Timur
148,2018-04-01,Duren sawit,306737,4766,20.364437924,April,4,2018,Jakarta Timur
149,2018-04-01,Matraman,36684,570,9.364437924,April,4,2018,Jakarta Timur
150,2018-04-01,Pulo Gadung,427797,6647,11.364437924,April,4,2018,Jakarta Timur
151,2018-04-01,Cakung,810350,12591,9.364437924,April,4,2018,Jakarta Timur
152,2018-04-01,Tanjung Priok,10683,166,4.389159601,April,4,2018,Jakarta Utara
153,2018-04-01,Cilincing,7143,111,2.389159601,April,4,2018,Jakarta Utara
154,2018-04-01,Kelapa gading,158903,2469,5.389159601,April,4,2018,Jakarta Utara
155,2018-04-01,Koja,4826,75,5.389159601,April,4,2018,Jakarta Utara
156,2018-04-01,Pademangan,461586,7172,4.389159601,April,4,2018,Jakarta Utara
157,2018-04-01,Penjaringan,1190585,18499,1.389159601,April,4,2018,Jakarta Utara
158,2018-04-01,Setiabudi,1953889,30359,23.394847366999997,April,4,2018,Jakarta Selatan
159,2018-04-01,Tebet,1507170,23418,18.394847367,April,4,2018,Jakarta Selatan
160,2018-04-01,Keb Baru,1134528,17628,20.394847367,April,4,2018,Jakarta Selatan
161,2018-04-01,Keb Lama,6407307,99555,25.394847366999997,April,4,2018,Jakarta Selatan
162,2018-04-01,Cilandak,2719638,42257,38.394847367,April,4,2018,Jakarta Selatan
163,2018-04-01,Pesanggrahan,316198,4913,22.394847366999997,April,4,2018,Jakarta Selatan
164,2018-04-01,Pasar Minggu,4227967,65693,39.394847367,April,4,2018,Jakarta Selatan
165,2018-04-01,Jagakarsa,1737448,26996,62.394847367,April,4,2018,Jakarta Selatan
166,2018-04-01,Mampang Prapatan,1073902,16686,26.394847366999997,April,4,2018,Jakarta Selatan
167,2018-04-01,Pancoran,2603791,40457,25.394847366999997,April,4,2018,Jakarta Selatan
168,2018-05-01,Kalideres,797478,12391,5.352066161000001,May,5,2018,Jakarta Barat
169,2018-05-01,Cengkareng,829143,12883,3.352066161,May,5,2018,Jakarta Barat
170,2018-05-01,Tambora,4247,66,4.352066161000001,May,5,2018,Jakarta Barat
171,2018-05-01,Grogol Petamburan,241669,3755,4.352066161000001,May,5,2018,Jakarta Barat
172,2018-05-01,Taman Sari,29734,462,5.352066161000001,May,5,2018,Jakarta Barat
173,2018-05-01,Kebon Jeruk,1010250,15697,10.352066161,May,5,2018,Jakarta Barat
174,2018-05-01,Kembangan,929157,14437,10.352066161,May,5,2018,Jakarta Barat
175,2018-05-01,Palmerah,666699,10359,9.352066161,May,5,2018,Jakarta Barat
176,2018-05-01,Menteng,1915531,29763,10.391615491,May,5,2018,Jakarta Pusat
177,2018-05-01,Tanah Abang,1003428,15591,10.391615491,May,5,2018,Jakarta Pusat
